time,timeDate,close,high,low,open,volumefrom,volumeto
1.38257E+12,2013-10-24,3,3,3,3,2.71,8.12
1.38266E+12,2013-10-25,3,3,3,3,0,0
1.38275E+12,2013-10-26,3,3,3,3,0,0
1.38283E+12,2013-10-27,3,3,3,3,0,0
1.38292E+12,2013-10-28,3,3,3,3,0,0
1.383E+12,2013-10-29,3,3,3,3,0,0
1.38309E+12,2013-10-30,3,3,3,3,0,0
1.38318E+12,2013-10-31,3,3,3,3,0,0
1.38326E+12,2013-11-01,3,3,3,3,0,0
1.38335E+12,2013-11-02,3,3,3,3,0,0
1.38344E+12,2013-11-03,3,3,3,3,0,0
1.38352E+12,2013-11-04,3,3,3,3,7.27,21.81
1.38361E+12,2013-11-05,3,3,3,3,0,0
1.3837E+12,2013-11-06,3,3,3,3,0,0
1.38378E+12,2013-11-07,3.2,3.2,3,3,9,28.8
1.38387E+12,2013-11-08,3.2,3.2,3.2,3.2,0.8219,2.63
1.38396E+12,2013-11-09,3.2,3.2,3.2,3.2,0,0
1.38404E+12,2013-11-10,3.2,3.2,3.2,3.2,0,0
1.38413E+12,2013-11-11,3.2,3.2,3.2,3.2,0,0
1.38421E+12,2013-11-12,3.2,3.2,3.2,3.2,0,0
1.3843E+12,2013-11-13,5,5,3.2,3.2,225.75,1128.77
1.38439E+12,2013-11-14,3,5,3,5,12,38
1.38447E+12,2013-11-15,5,5,3,3,10.06,50.3
1.38456E+12,2013-11-16,4.25,5,4.25,5,5.07,21.54
1.38465E+12,2013-11-17,4.25,4.25,4.25,4.25,0,0
1.38473E+12,2013-11-18,5,5,4.25,4.25,5,25
1.38482E+12,2013-11-19,9,10,5,5,29.14,272.36
1.38491E+12,2013-11-20,9,9,9,9,2.47,22.26
1.38499E+12,2013-11-21,9,9,9,9,94.53,850.74
1.38508E+12,2013-11-22,10,11,9,9,63.81,658.15
1.38516E+12,2013-11-23,12.8,14.5,10,10,2577.36,32377.01
1.38525E+12,2013-11-24,10,13.8,10,12.8,7.62,96.56
1.38534E+12,2013-11-25,12,14,10,10,183.41,2328.81
