time,timeDate,close,high,low,open,volumefrom,volumeto
,2016-12-31,,-1,,,,
,2017-01-01,,-1,,,,
,2017-01-02,,-1,,,,
,2017-01-03,,-1,,,,
,2017-01-04,,-1,,,,
,2017-01-05,,-1,,,,
,2017-01-06,,-1,,,,
,2017-01-07,,-1,,,,
,2017-01-08,,-1,,,,
,2017-01-09,,-1,,,,
,2017-01-10,,-1,,,,
,2017-01-11,,-1,,,,
,2017-01-12,,-1,,,,
,2017-01-13,,-1,,,,
,2017-01-14,,-1,,,,
,2017-01-15,,-1,,,,
,2017-01-16,,-1,,,,
1.48461E+12,2017-01-17,0.002251,0.002251,0.002251,0.002251,145.58,0.3277
1.4847E+12,2017-01-18,0.002251,0.002251,0.002251,0.002251,0,0
1.48478E+12,2017-01-19,0.002251,0.002251,0.002251,0.002251,0,0
1.48487E+12,2017-01-20,0.002957,0.003,0.00225,0.002251,533957.26,1595.84
1.48496E+12,2017-01-21,0.0025,0.002957,0.00225,0.002957,1410111.41,3184.71
1.48504E+12,2017-01-22,0.002253,0.0025,0.002253,0.0025,254935.39,589.25
1.48513E+12,2017-01-23,0.002272,0.002272,0.002253,0.002253,376365.58,849.62
1.48522E+12,2017-01-24,0.002212,0.002275,0.002206,0.002272,7377240.31,16592.82
1.4853E+12,2017-01-25,0.002178,0.00222,0.002156,0.002212,479884.71,1047.37
1.48539E+12,2017-01-26,0.002154,0.002178,0.002056,0.002178,1163887.27,2446.65
1.48548E+12,2017-01-27,0.002152,0.002398,0.002152,0.002154,629329.79,1414.58
1.48556E+12,2017-01-28,0.002153,0.002153,0.002152,0.002152,5043.91,10.86
1.48565E+12,2017-01-29,0.0022,0.0022,0.002152,0.002153,36060.79,77.82
1.48573E+12,2017-01-30,0.0024,0.0024,0.0022,0.0022,1006695.45,2416.03
1.48582E+12,2017-01-31,0.002149,0.002497,0.002149,0.0024,281802.73,643.43
1.48591E+12,2017-02-01,0.002481,0.002481,0.002149,0.002149,67213.23,154.54
1.48599E+12,2017-02-02,0.002215,0.002483,0.002215,0.002481,953700.33,2224.2
1.48608E+12,2017-02-03,0.002292,0.002457,0.002215,0.002215,475728.62,1090.8
1.48617E+12,2017-02-04,0.002292,0.002292,0.002292,0.002292,0,0
1.48625E+12,2017-02-05,0.002442,0.002442,0.002292,0.002292,227.87,0.5541
1.48634E+12,2017-02-06,0.002342,0.002442,0.002342,0.002442,168.84,0.3987
1.48643E+12,2017-02-07,0.002275,0.002346,0.002275,0.002342,4467.2,10.34
1.48651E+12,2017-02-08,0.0022,0.002381,0.0022,0.002275,765616.04,1695.88
1.4866E+12,2017-02-09,0.002056,0.002201,0.002056,0.0022,2750548.28,5857.06
1.48668E+12,2017-02-10,0.002181,0.002184,0.002056,0.002056,7355.45,16.04
1.48677E+12,2017-02-11,0.002319,0.002319,0.002173,0.002181,60262.52,131.39
1.48686E+12,2017-02-12,0.002168,0.002319,0.001892,0.002319,22149.13,45.38
1.48694E+12,2017-02-13,0.002168,0.002168,0.002168,0.002168,0,0
1.48703E+12,2017-02-14,0.001892,0.002168,0.001892,0.002168,10592.3,20.04
1.48712E+12,2017-02-15,0.001894,0.001984,0.001892,0.001892,1592.48,3.07
1.4872E+12,2017-02-16,0.002164,0.002207,0.001894,0.001894,1082.13,2.37
1.48729E+12,2017-02-17,0.002361,0.002361,0.002164,0.002164,100,0.2361
1.48738E+12,2017-02-18,0.002047,0.002361,0.001959,0.002361,46817.07,93.87
1.48746E+12,2017-02-19,0.001985,0.002047,0.001985,0.002047,255960.35,508.17
1.48755E+12,2017-02-20,0.001985,0.002063,0.001953,0.001985,1414438.95,2807.14
1.48764E+12,2017-02-21,0.001985,0.001985,0.001985,0.001985,316001.51,655.51
